exam_id,lineage_uid,lineage_confidence,course_family_id,course_uid,course_version,is_current,program,education_level,course_code,course_name_sv,module_code_if_stated,module_name_if_stated,credits_hp_if_stated,exam_order,examination_text_exact,examination_category,individual_or_group,written_or_oral_or_practical_or_clinical,mandatory_or_optional,grading_scale_if_stated,related_learning_outcomes_if_stated,source_file,confidence,notes
OMA070_v01_EXAM_001,OMA070_EXAM_001,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,missing,missing,missing,1,Skriftliga och muntliga examinationer i grupp med individuell bedömning,oral_group,group_with_individual_assessment,written+oral,unclear,missing,missing,user_prompt_OMA070.txt,high,examination paragraph; extraction_method=user_prompt_cached
OMA070_v01_EXAM_002,OMA070_EXAM_002,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,0010,"Skriftlig och muntlig examination, grupp med individuell bedömning (lärandemål 1, 12)",1.0,2,"Skriftlig och muntlig examination, grupp med individuell bedömning (lärandemål 1, 12)",oral_group,group_with_individual_assessment,written+oral,mandatory_if_course_completion,UV,"1, 12",user_prompt_OMA070.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA070_v01_EXAM_003,OMA070_EXAM_003,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,0020,"Skriftlig och muntlig examination, grupp med individuell bedömning (lärandemål 2, 7, 8, 10, 11, 13)",2.5,3,"Skriftlig och muntlig examination, grupp med individuell bedömning (lärandemål 2, 7, 8, 10, 11, 13)",oral_group,group_with_individual_assessment,written+oral,mandatory_if_course_completion,UG,"2, 7, 8, 10, 11, 13",user_prompt_OMA070.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA070_v01_EXAM_004,OMA070_EXAM_004,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,0030,"Skriftlig och muntlig examination examination, grupp med individuell bedömning (lärandemål 3, 9)",1.0,4,"Skriftlig och muntlig examination examination, grupp med individuell bedömning (lärandemål 3, 9)",oral_group,group_with_individual_assessment,written+oral,mandatory_if_course_completion,UV,"3, 9",user_prompt_OMA070.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA070_v01_EXAM_005,OMA070_EXAM_005,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,0040,"Skriftlig och muntlig examination, grupp med individuell bedömning (lärandemål 4)",1.0,5,"Skriftlig och muntlig examination, grupp med individuell bedömning (lärandemål 4)",oral_group,group_with_individual_assessment,written+oral,mandatory_if_course_completion,UV,4,user_prompt_OMA070.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA070_v01_EXAM_006,OMA070_EXAM_006,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,0050,"Skriftlig och muntlig examination, grupp med individuell bedömning (lärandemål 5)",1.0,6,"Skriftlig och muntlig examination, grupp med individuell bedömning (lärandemål 5)",oral_group,group_with_individual_assessment,written+oral,mandatory_if_course_completion,UV,5,user_prompt_OMA070.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA070_v01_EXAM_007,OMA070_EXAM_007,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,0060,"Skriftlig och muntlig examination, grupp med individuell bedömning (lärandemål 6)",1.0,7,"Skriftlig och muntlig examination, grupp med individuell bedömning (lärandemål 6)",oral_group,group_with_individual_assessment,written+oral,mandatory_if_course_completion,UV,6,user_prompt_OMA070.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA406_v01_EXAM_001,OMA406_EXAM_001,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,missing,missing,missing,1,"Skriftlig individuell tentamen, examinerande seminarium, muntlig gruppresentation, skriftliga individuella examinationer samt verksamhetsförlagd utbildning baserad på individuellt dokumenterad bedömning enligt fastställda kriterier. I kursen ingår ett obligatoriskt moment i organdonation som bedömningsunderlag för lärandemål 4.",vfu_assessment,group,written+oral+vfu,mandatory_if_course_completion,missing,missing,user_prompt_OMA406.txt,high,examination paragraph; extraction_method=user_prompt_cached
OMA406_v01_EXAM_002,OMA406_EXAM_002,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,0001,Tentamen individuell (lärandemål 1),2.0,2,Tentamen individuell (lärandemål 1),written_exam,individual,written,mandatory_if_course_completion,UV,1,user_prompt_OMA406.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA406_v01_EXAM_003,OMA406_EXAM_003,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,0002,"Muntlig gruppresentation av uppgift, individuell bedömning (lärandemål 2)",0.5,3,"Muntlig gruppresentation av uppgift, individuell bedömning (lärandemål 2)",oral_group,group_with_individual_assessment,oral,mandatory_if_course_completion,UG,2,user_prompt_OMA406.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA406_v01_EXAM_004,OMA406_EXAM_004,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,0003,"Skriftlig examination, individuell (lärandemål 3)",1.0,4,"Skriftlig examination, individuell (lärandemål 3)",written_individual,individual,written,mandatory_if_course_completion,UV,3,user_prompt_OMA406.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA406_v01_EXAM_005,OMA406_EXAM_005,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,0004,Muntlig individuell presentation av uppgift (lärandemål 4),0.5,5,Muntlig individuell presentation av uppgift (lärandemål 4),oral_individual,individual,oral,mandatory_if_course_completion,UG,4,user_prompt_OMA406.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA406_v01_EXAM_006,OMA406_EXAM_006,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,0005,Muntlig individuell presentation av uppgift (lärandemål 5),0.5,6,Muntlig individuell presentation av uppgift (lärandemål 5),oral_individual,individual,oral,mandatory_if_course_completion,UG,5,user_prompt_OMA406.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA406_v01_EXAM_007,OMA406_EXAM_007,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,0006,"Skriftlig examination, individuell (lärandemål 10)",1.0,7,"Skriftlig examination, individuell (lärandemål 10)",written_individual,individual,written,mandatory_if_course_completion,UV,10,user_prompt_OMA406.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA406_v01_EXAM_008,OMA406_EXAM_008,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,0007,"Seminarium, individuell bedömning (lärandemål 11)",0.5,8,"Seminarium, individuell bedömning (lärandemål 11)",seminar,individual,not_stated,mandatory_if_course_completion,UG,11,user_prompt_OMA406.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA406_v01_EXAM_009,OMA406_EXAM_009,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,0008,"Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (lärandemål 6–9, 12)",9.0,9,"Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (lärandemål 6–9, 12)",vfu_assessment,individual,oral+vfu,mandatory_if_course_completion,UG,missing,user_prompt_OMA406.txt,high,module-derived examination; extraction_method=user_prompt_cached
OMA717_v01_EXAM_001,OMA717_EXAM_001,baseline,OMA717,OMA717_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,0001,"Självständigt arbete, individuell bedömning",18.0,1,"Självständigt arbete, individuell bedömning",other,individual,not_stated,mandatory_if_course_completion,UV,missing,Kurs4_Anestesi_OMA717.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_001,OMA081_EXAM_001,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,missing,missing,missing,1,"skriftliga individuella tentamina, examinerande seminarier, muntliga
gruppexaminationer, individuell klinisk examination samt
verksamhetsförlagd utbildning baserad på individuellt dokumenterad
bedömning enligt fastställda kriterier. I kursen ingår ett obligatoriskt
moment i medicinsk teknik, gas- och ellära som bedömningsunderlag för
lärandemål 4.",vfu_assessment,group,written+oral+clinical/practical+vfu,mandatory_if_course_completion,missing,missing,Kurs1_IVA_OMA081.pdf,medium,examination paragraph; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_002,OMA081_EXAM_002,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,0001,"Tentamen, individuell (lärandernål 1) fp VG",missing,2,"Tentamen, individuell (lärandernål 1) fp VG",written_exam,individual,written,mandatory_if_course_completion,missing,missing,Kurs1_IVA_OMA081.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_003,OMA081_EXAM_003,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,0002,"Muntlig examination, individuell (lärandemål 2,3) fd ue",missing,3,"Muntlig examination, individuell (lärandemål 2,3) fd ue",oral_individual,individual,oral,mandatory_if_course_completion,missing,"2,3",Kurs1_IVA_OMA081.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_004,OMA081_EXAM_004,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,0003,"Tentamen, individuell (lärandernål 7) hp VG",missing,4,"Tentamen, individuell (lärandernål 7) hp VG",written_exam,individual,written,mandatory_if_course_completion,missing,missing,Kurs1_IVA_OMA081.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_005,OMA081_EXAM_005,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,0004,"Seminarium, individuell bedömning (lärandemål 8) hm va",missing,5,"Seminarium, individuell bedömning (lärandemål 8) hm va",seminar,individual,not_stated,mandatory_if_course_completion,missing,8,Kurs1_IVA_OMA081.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_006,OMA081_EXAM_006,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,0005,"Klinisk examination, individuell (lärandemål 9) hp VG",missing,6,"Klinisk examination, individuell (lärandemål 9) hp VG",clinical_examination,individual,clinical/practical,mandatory_if_course_completion,missing,9,Kurs1_IVA_OMA081.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_007,OMA081_EXAM_007,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,0006,"Tentamen, individuell (lärandemål 4,5,6) fp W",missing,7,"Tentamen, individuell (lärandemål 4,5,6) fp W",written_exam,individual,written,mandatory_if_course_completion,missing,"4,5,6",Kurs1_IVA_OMA081.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_008,OMA081_EXAM_008,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,0007,"Seminarium, individuell bedömning (lärandemål 10) 1",missing,8,"Seminarium, individuell bedömning (lärandemål 10) 1",seminar,individual,not_stated,mandatory_if_course_completion,UG,10,Kurs1_IVA_OMA081.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_009,OMA081_EXAM_009,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,9008,bedömning (lärandemål 17) np OM,missing,9,bedömning (lärandemål 17) np OM,other,not_stated,not_stated,mandatory_if_course_completion,missing,17,Kurs1_IVA_OMA081.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_010,OMA081_EXAM_010,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,9009,bedömning (lärandemål 11) hp,missing,10,bedömning (lärandemål 11) hp,other,not_stated,not_stated,mandatory_if_course_completion,missing,11,Kurs1_IVA_OMA081.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA081_v01_EXAM_011,OMA081_EXAM_011,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,0010,fastställda kriterier samt lärandemål med muntlig [,missing,11,fastställda kriterier samt lärandemål med muntlig [,unclear,not_stated,oral,mandatory_if_course_completion,missing,missing,Kurs1_IVA_OMA081.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA080_v01_EXAM_001,OMA080_EXAM_001,baseline,OMA080,OMA080_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA080,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning intensivvård,missing,missing,missing,1,"= skriftliga och muntliga examinationer, grupp med individuell bedömning",oral_group,group_with_individual_assessment,written+oral,unclear,missing,missing,Kurs2_IVA_OMA080.pdf,medium,examination paragraph; extraction_method=ocr_swe_70dpi_cached
OMA405_v01_EXAM_001,OMA405_EXAM_001,baseline,OMA405,OMA405_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA405,Avancerad omvårdnad med inriktning mot intensivvård II,missing,missing,missing,1,"skriftlig individuell tentamen, examinerande seminarium, muntlig
gruppresentation, skriftliga individuella examinationer samt
verksamhetsförlagd utbildning baserad på individuellt dokumenterad
bedömning enligt fastställda kriterier. I kursen ingår ett obligatoriskt
moment i organdonation som bedömningsunderlag för lärandemål 4.",vfu_assessment,group,written+oral+vfu,mandatory_if_course_completion,missing,missing,Kurs3_IVA_OMA405.pdf,medium,examination paragraph; extraction_method=ocr_swe_70dpi_cached
OMA405_v01_EXAM_002,OMA405_EXAM_002,baseline,OMA405,OMA405_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA405,Avancerad omvårdnad med inriktning mot intensivvård II,0001,"Tentamen, individuell (lärandemål 1) hp W",missing,2,"Tentamen, individuell (lärandemål 1) hp W",written_exam,individual,written,mandatory_if_course_completion,missing,1,Kurs3_IVA_OMA405.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA405_v01_EXAM_003,OMA405_EXAM_003,baseline,OMA405,OMA405_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA405,Avancerad omvårdnad med inriktning mot intensivvård II,0002,bedömning (lärandemåt 2) hp US,missing,3,bedömning (lärandemåt 2) hp US,other,not_stated,not_stated,mandatory_if_course_completion,missing,missing,Kurs3_IVA_OMA405.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA405_v01_EXAM_004,OMA405_EXAM_004,baseline,OMA405,OMA405_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA405,Avancerad omvårdnad med inriktning mot intensivvård II,0003,"Skriftlig examination, individuell (lärandernål 3) hp Ww",missing,4,"Skriftlig examination, individuell (lärandernål 3) hp Ww",written_individual,individual,written,mandatory_if_course_completion,missing,missing,Kurs3_IVA_OMA405.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA405_v01_EXAM_005,OMA405_EXAM_005,baseline,OMA405,OMA405_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA405,Avancerad omvårdnad med inriktning mot intensivvård II,0004,missing,1,5,missing,other,not_stated,not_stated,mandatory_if_course_completion,UG,missing,Kurs3_IVA_OMA405.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA405_v01_EXAM_006,OMA405_EXAM_006,baseline,OMA405,OMA405_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA405,Avancerad omvårdnad med inriktning mot intensivvård II,0005,5) hp,missing,6,5) hp,other,not_stated,not_stated,mandatory_if_course_completion,UG,missing,Kurs3_IVA_OMA405.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA405_v01_EXAM_007,OMA405_EXAM_007,baseline,OMA405,OMA405_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA405,Avancerad omvårdnad med inriktning mot intensivvård II,0006,"Skriftlig examination, individuell (lärandernål 10) hp Ww",missing,7,"Skriftlig examination, individuell (lärandernål 10) hp Ww",written_individual,individual,written,mandatory_if_course_completion,missing,missing,Kurs3_IVA_OMA405.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA405_v01_EXAM_008,OMA405_EXAM_008,baseline,OMA405,OMA405_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA405,Avancerad omvårdnad med inriktning mot intensivvård II,0007,"Seminarium, individuell bedömning (lärandemål 1) hö",missing,8,"Seminarium, individuell bedömning (lärandemål 1) hö",seminar,individual,not_stated,mandatory_if_course_completion,UG,1,Kurs3_IVA_OMA405.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA405_v01_EXAM_009,OMA405_EXAM_009,baseline,OMA405,OMA405_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA405,Avancerad omvårdnad med inriktning mot intensivvård II,0008,fastställda kriterier och lärandemål med muntlig 2 ue,missing,9,fastställda kriterier och lärandemål med muntlig 2 ue,unclear,not_stated,oral,mandatory_if_course_completion,missing,missing,Kurs3_IVA_OMA405.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA716_v01_EXAM_001,OMA716_EXAM_001,baseline,OMA716,OMA716_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA716,Examensarbete inom intensivvårdssjuksköterskans kunskapsområde,missing,missing,missing,1,"skriftliga och muntliga examinationsuppgifter genom framläggande och
försvar av examensarbete samt muntlig examination genom kritisk
granskning av annan students examensarbete

bese lodung soocsievylaousiarasOMA7I SNvald-tam-2025-01-20

--- OCR page 3 ---",unclear,not_stated,written+oral,unclear,missing,missing,Kurs4_IVA_OMA716.pdf,medium,examination paragraph; extraction_method=ocr_swe_70dpi_cached
OMA041_v01_EXAM_001,OMA041_EXAM_001,baseline,OMA041,OMA041_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning distriktssköterska,Avancerad nivå,OMA041,"Folksjukdomar, omvårdnad och folkhälsoarbete inom distriktssköterskans ansvarsområde",missing,missing,missing,1,"skriftliga examinationsuppgifter, individuell",written_individual,individual,written,unclear,missing,missing,Kurs1_Distrikt_OMA041.pdf,medium,examination paragraph; extraction_method=ocr_swe_70dpi_cached
OMA041_v01_EXAM_002,OMA041_EXAM_002,baseline,OMA041,OMA041_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning distriktssköterska,Avancerad nivå,OMA041,"Folksjukdomar, omvårdnad och folkhälsoarbete inom distriktssköterskans ansvarsområde",missing,missing,missing,2,"tentamen, individuell",written_exam,individual,written,unclear,missing,missing,Kurs1_Distrikt_OMA041.pdf,medium,examination paragraph; extraction_method=ocr_swe_70dpi_cached
